Unique ID,Product Name,Model,Company,search,amazon_link
1,Jabra Enhance,Enhance Select 200 Premium,GN Resound,Jabra EnhanceEnhance Select 200 Premium,n/a
2,Jabra Enhance,Enhance Select 200 Basic,GN Resound,Jabra EnhanceEnhance Select 200 Basic,n/a
3,Jabra Enhance,Enhance Select 100 Premium,GN Resound,Jabra EnhanceEnhance Select 100 Premium,n/a
4,Jabra Enhance,Enhance Select 100 Basic,GN Resound,Jabra EnhanceEnhance Select 100 Basic,n/a
5,Jabra Enhance,Enhance Select 50 Premium,GN Resound,Jabra EnhanceEnhance Select 50 Premium,n/a
6,Jabra Enhance,Enhance Select 50 Basic,GN Resound,Jabra EnhanceEnhance Select 50 Basic,n/a
182,Jabra Enhance,Enhance Select 500 Premium,GN Resound,Jabra EnhanceEnhance Select 500 Premium,n/a
183,Jabra Enhance,Enhance Select 500 Basic,GN Resound,Jabra EnhanceEnhance Select 500 Basic,n/a
184,Jabra Enhance,Enhance Select 300 Premium,GN Resound,Jabra EnhanceEnhance Select 300 Premium,n/a
185,Jabra Enhance,Enhance Select 300 Basic,GN Resound,Jabra EnhanceEnhance Select 300 Basic,n/a
7,Eargo,Eargo 5,Eargo 5,EargoEargo 5,n/a
8,Eargo,Eargo 6,Eargo 6,EargoEargo 6,https://www.amazon.com/EARGO-Hearing-Aids-Adults-Rechargeable/dp/B09NWCSS86/ref=sr_1_3?crid=2BYS6L6MUXD9E&dib=eyJ2IjoiMSJ9.97zAj3njr0szVavz8ZtBMro9lLRtBRtSUYiYQYBFP7rGjHj071QN20LucGBJIEps.cJnBb4WA30KdDKHDt26VhssSrvoUiI2KtarqecgjjxQ&dib_tag=se&keywords=eargo+ergo+5&qid=1719607779&sprefix=eargoeargo+5%2Caps%2C98&sr=8-3
9,Eargo,Eargo 7,Eargo 7,EargoEargo 7,https://www.amazon.com/EARGO-Self-Fitting-FDA-Cleared-Hearing-Aids/dp/B0BSHCNP5W/ref=sr_1_2?crid=2BYS6L6MUXD9E&dib=eyJ2IjoiMSJ9.97zAj3njr0szVavz8ZtBMro9lLRtBRtSUYiYQYBFP7rGjHj071QN20LucGBJIEps.cJnBb4WA30KdDKHDt26VhssSrvoUiI2KtarqecgjjxQ&dib_tag=se&keywords=eargo+ergo+5&qid=1719607779&sprefix=eargoeargo+5%2Caps%2C98&sr=8-2
10,Lexie,Lexie Lumen,hearX Group,LexieLexie Lumen,n/a
11,Lexie,Lexie B1 ,hearX Group,LexieLexie B1 ,https://www.amazon.com/Lexie-Hearing-Aids-Powered-Bluetooth-enabled/dp/B0BHHJWPH7/ref=sr_1_5?crid=L3NU3G2ASQBH&dib=eyJ2IjoiMSJ9.jftbi8RA33DbqhP3FNvlTvkN3ivXN7yhg0KL__O0mOS1dHU06wVLqC2sT4gZ-sjf5sP2nCfoMYF9AAUsXFkoXy5m9KtwaLSAEEXi8kCbrETakDZTiBqX2SCsmrSPOioiN2xB7kWkwg5Nvo3zk2-NlL9d_lNr7IY8OrbcnBbKPeniZ-72RZXu3exJlEcbcPt1Ai7dpGm-InZN0RxkBDwJtfFWX4y9BvgAEHluAp8vP5GkmViHFElwUKXSY_7g33aqof9w1Ul2HVFkwQ8oHVW1xh1mo89HVRVkVivooPSVP9k.KCqHL0mmqeDH7RczxC10p53HxRpdKEocNaIzJchCa5k&dib_tag=se&keywords=LexieLexie+B1+hearing+aid&qid=1719607863&sprefix=lexielexie+b1+hearing+aid%2Caps%2C49&sr=8-5
12,Lexie,Lexie B2,hearX Group,LexieLexie B2,https://www.amazon.com/Lexie-Rechargeable-Self-fitting-Invisible-Reduction/dp/B0BJ5VBY94/ref=sr_1_6?crid=L3NU3G2ASQBH&dib=eyJ2IjoiMSJ9.jftbi8RA33DbqhP3FNvlTvkN3ivXN7yhg0KL__O0mOS1dHU06wVLqC2sT4gZ-sjf5sP2nCfoMYF9AAUsXFkoXy5m9KtwaLSAEEXi8kCbrETakDZTiBqX2SCsmrSPOioiN2xB7kWkwg5Nvo3zk2-NlL9d_lNr7IY8OrbcnBbKPeniZ-72RZXu3exJlEcbcPt1Ai7dpGm-InZN0RxkBDwJtfFWX4y9BvgAEHluAp8vP5GkmViHFElwUKXSY_7g33aqof9w1Ul2HVFkwQ8oHVW1xh1mo89HVRVkVivooPSVP9k.KCqHL0mmqeDH7RczxC10p53HxRpdKEocNaIzJchCa5k&dib_tag=se&keywords=LexieLexie+B1+hearing+aid&qid=1719607863&sprefix=lexielexie+b1+hearing+aid%2Caps%2C49&sr=8-6
13,IQbuds2 MAX,IQbuds2 MAX,Nuheara Limited,IQbuds2 MAXIQbuds2 MAX,https://www.amazon.com/Nuheara-Bluetooth-Rechargeable-Personalization-Cancellation/dp/B09J2PVRKC/ref=sr_1_fkmr0_1?crid=1LL0Z03IE0EXE&dib=eyJ2IjoiMSJ9.FokKKbdKW5lmuEYZ-wuGcoT1gkSzfHxpuBOoT5_FJ_Ik2UV8QtIL0FVLpA9MhqSVbHsLQQ6NrO8ZOQ7hAH-Dl_KxC7qM26LOlb83xco2nasDsKcQDTeCSvbuFMWpkLsG.dqFb-820kgADsvGFqT7vnVAzJLqkj09ceJK2-lL1ubY&dib_tag=se&keywords=IQbuds2+MAXIQbuds2+MAX&qid=1719607891&sprefix=iqbuds2+maxiqbuds2+max%2Caps%2C64&sr=8-1-fkmr0
14,HP Hearing Pro,HP Hearing Pro,Nuheara Limited ,HP Hearing ProHP Hearing Pro,n/a
15,Air,Air 3,MD Hearing,AirAir 3,https://www.amazon.com/MDHearingAid-Rechargeable-Crystal-clear-MDHearing-Invisible/dp/B0BXBMMSKY/ref=sr_1_6?crid=3S4KQYA1AXNRA&dib=eyJ2IjoiMSJ9.hUwhFth6vYYC9ZjeZd5_P94FXXxysZCgYqkCOIhLZzhjJllSSbFynrNfSSnvdttz7_ykRn38Q0UXT4_IqSRv-O16fqMBPTmW_Vw-Lv1FfHNjl5em2LLCvdv9EA7x_mTD0jzY2PQEWEq4tO1E5irgy0DLdK2zjst-2gTW24voUCMBek4pJPGRg6Zi6WgWXHrAcs9jxMVuu-LamI9MfZ0AJmBkq4fp7AgeyigAbm_4hb7N8CB34GJk-ULaLm_7GEZDcOG8tTXRLJ7U_015PiGvOJ43Vgiy0P0OT9MO_MZpX1I.OJbwHNKL58KQYq5QnBTNmyjrkTRnGr0M3NdceqTFjO8&dib_tag=se&keywords=md%2Bhearing%2Bneo&qid=1719607989&sprefix=md%2Bhearing%2Bneo%2B%2Caps%2C83&sr=8-6&th=1
16,Neo,Neo,MD Hearing,NeoNeo,https://www.amazon.com/MDHearingAid-Rechargeable-Virtually-Invisible-Crystal-Clear/dp/B0BTTVD8QM/ref=sr_1_1_sspa?crid=2HTEAT2RD0J0A&dib=eyJ2IjoiMSJ9.hUwhFth6vYYC9ZjeZd5_P94FXXxysZCgYqkCOIhLZzj6dPgeyj7yYv8DC2NXERNO5Ib5T-gLsqGwLRpQniYb7SUMDGsyAvdW2sT1erS9Z1AYV4D4HpLFjHMHDfwcqsvmyFETifYSXPazGqdm6t9aNSSn6u5NfSBwgWu-kryaeQ39OpTed6Wre0_Tht7nfbPbAMiAX2bLWv0o84Jh8XILdNlgUJ-FOhRAWKR_rqPVKeH7a7CUt3DHmjD3ux2xIBiFFX-pA4oGNotBAcjpzmC5P9MgM6m2dQzoN4Nc3rLYdZ4.RGpUqCBz7S2rBPB4jEjdaSNXMomPZwkCEGCoN_9mTzU&dib_tag=se&keywords=neo+md+hearing+aid&qid=1719714628&sprefix=neo+md+hearing+aid%2Caps%2C134&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
159,Neo ,Neo XS,MD Hearing,Neo Neo XS,https://www.amazon.com/MDHearing-Completely-Rechargeable-Virtually-Crystal-Clear/dp/B0CPJS2GDG/ref=sr_1_2_sspa?crid=2HTEAT2RD0J0A&dib=eyJ2IjoiMSJ9.hUwhFth6vYYC9ZjeZd5_P94FXXxysZCgYqkCOIhLZzj6dPgeyj7yYv8DC2NXERNO5Ib5T-gLsqGwLRpQniYb7SUMDGsyAvdW2sT1erS9Z1AYV4D4HpLFjHMHDfwcqsvmyFETifYSXPazGqdm6t9aNSSn6u5NfSBwgWu-kryaeQ39OpTed6Wre0_Tht7nfbPbAMiAX2bLWv0o84Jh8XILdNlgUJ-FOhRAWKR_rqPVKeH7a7CUt3DHmjD3ux2xIBiFFX-pA4oGNotBAcjpzmC5P9MgM6m2dQzoN4Nc3rLYdZ4.RGpUqCBz7S2rBPB4jEjdaSNXMomPZwkCEGCoN_9mTzU&dib_tag=se&keywords=neo+md+hearing+aid&qid=1719714628&sprefix=neo+md+hearing+aid%2Caps%2C134&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
17,Volt,Volt,MD Hearing,VoltVolt,https://www.amazon.com/MDHearingAid-Doctor-Designed-Rechargeable-Directional-Microphones/dp/B0BXBDWT7P/ref=sr_1_5?crid=3QR4UVSIL2RXL&dib=eyJ2IjoiMSJ9.fV3TsruvBTBmqoemH3ySy2E2Dr4Ac7P8OEDnBV6dGkzKnTBpfyw1IYEJ629654PJThO6mfkKLL5yvNqJjQB9WY7BE7PC2h-qd_vdRA8ZucRk8vqMVXN9TToOKy21vF75ZTkjM-77pB5gFRTddEe9pQBie63QD6Keb2VnnUacSEFix0jsVBS6usZUZ39HpRUVfk86Sh6STwAq-h_N4DB8WQVoW_c4p-pbHGByela1uFLBnr5RkaVOalXbGcSVrqaDx39KjByldZLjCvXcJynFVhQUT0dQheNaLq9jyXpC1e8.yAaxnHsdErRXpJWxmknvpwS0VCZnI-4w7h5iZsxmNj0&dib_tag=se&keywords=volt+hearing+aid&qid=1719608061&sprefix=volt+hearing+ai%2Caps%2C81&sr=8-5
18,Volt,Volt Max,MD Hearing,VoltVolt Max,n/a
19,C10,CRE-C10,Sony,C10CRE-C10,https://www.amazon.com/Sony-CRE-C10-Self-Fitting-Hearing-Moderate/dp/B0BXYZVT1T/ref=sr_1_1_sspa?crid=23CX7HODB4B5I&dib=eyJ2IjoiMSJ9.ajYJwbzooNAB0SKaq_2MOmpPuj9CO3gwix5UYwQhFK2ESbJ5EBttXnn63JkvFswtDnlgqEo-3Bsm6f2y6pxRnq3ZzvJH_sQcGSSATTEDDShDTqRrZP0aAcx6cBC2ul0YqoI8a6nph1JIgAp16kma4BqdlhSEvtF5RfbAkr0uK_SxT1oaE5GGD8I6jOBtCm4mBJUGdGnHjQcXLk1Hksv1lN0sdh_TEgCNzeSEDPm8K8G1BE17p8T7XjJZOlCkuT0CM4pSJIZWZ1OP4-DwklEAx0-dc0JYJhnOxySFeSvDcL4.l3V0xsvf3AxdzvQJSnMfr6tQpup4RRDMqJOBD3iKtPI&dib_tag=se&keywords=C10CRE-C10+hearing+aid&qid=1719608103&sprefix=c10cre-c10+hearing+aid%2Caps%2C59&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
20,E10,CRE-E10,Sony,E10CRE-E10,https://www.amazon.com/Sony-CRE-E10-Self-Fitting-Moderate-Rechargeable/dp/B0BXZ4QRC7/ref=sr_1_8?crid=3002FOACMJJQ7&dib=eyJ2IjoiMSJ9.xUCEIJQzf9OmH4-9VX1jIE4Izy_JWx2B6LA_4MjFZNqkDHC3YnGZ-4suyn3kmkYF3yozqVUMdO9VcSAO-AeGTVCr7y2SEDEelZ7T53cUuTNeg1PHPtjpgBLLE7cclyQZoPMJZgzpnZaEliXoc2hZH9I0CnWVxcI_M6hOQa8JSuIzDkO_rHFOitkkqULukpgTkEnVLiu4JN79Pb3_YT-nxjZVHbjzIUwuymMbuD051ZdRjuIONgQeFB_93XyUaLAI5i7kMvPaI5nvNqOHRVeLHnnzgRe9EqgOUdYStq0DLD0.7WV5RR-AhTDfvZtHBHqJlbEfrEmuWb382fog-wMnyw4&dib_tag=se&keywords=E10CRE-E10+hearing+aid&qid=1719608124&sprefix=e10cre-e10+hearing+aid%2Caps%2C53&sr=8-8
21,Engage Rechargeable,Engage Rechargeable,Lucid Hearing,Engage RechargeableEngage Rechargeable,https://www.amazon.com/Engage-Rechargeable-Accessories-Compatible-Splashproof/dp/B08TX6D8X6/ref=sr_1_2_sspa?crid=9ZJT8CJQZWHH&dib=eyJ2IjoiMSJ9.5dtywxWeTeTr1p1scCl5XbJOI4RgXhi1JMDivMJT2WcpPJ_1zP_KwhIb3fMCg7RFAnDERybiXIJsX36i6psnWrAiO42dKBXGkgH07m2h2_8bkAzwcSyUj3HsMetiF4CvgeBr4zwdcLuhJ23U6eHr7JR6pexvvQP6W9VmeutUxFPrMt1j1LQXuHB5d8WLKjHik1H9bbhWY9BNpKHgOVPwh0XM3JxB5_aw6AH1SfpX4uXG-Lf23KBhx0zbkpW0m5sA4wQN7fYy_wWAjyf-KU6gxbvl1D6XdAa4476txZl1G7M.7g1Clso5A1WyUAIhF49rSBYVOeuYZpDfz2UrhTPImZY&dib_tag=se&keywords=Engage+RechargeableEngage+Rechargeable+hearing+aid&qid=1719608152&sprefix=engage+rechargeableengage+rechargeable+hearing+aid%2Caps%2C56&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
22,fio,fio,Lucid Hearing,fiofio,
