ID,Site,Star_Rating,Title,Review
95,Amazon,NA,NA,NA
95,Amazon,NA,NA,NA
95,Amazon,NA,NA,NA
95,Amazon,3.0 out of 5 stars,"Good, but...","These were almost exactly what I wanted. I have another pair of devices I use daily. But I take long walks (3-10 miles) and stream music. Then I stream TV at night, keeping the sound blocked on the TV so it isn't too loud for others. That runs the battery down a lot, and often cuts the TV time short. Plus when I walk I sometimes encounter strangers who want to talk to me (a friendly town), so I needed something while walking that didn't completely block external sounds like earbuds do.I was able to set these up and get them sounding almost as good as the devices I already had which cost much more. Just wearing them around the house gave good results: I could hear and understand people well, the batteries seemed more than sufficient that they alone could handle most or all of my longest walks.Then I found a problem. No matter what I did, I could only get streaming and phone in one ear. It was always whichever ear paired last. I tried several things and the result was always the same. I can't use the phone with only one ear using something plugged in, though I can hold the phone up to my ear and use just one ear. Music isn't pleasant at all in only mono. I could handle it in mono in both ears, but in only one ear it's disturbing. So I contacted the vendor. I was told all of their devices are mono and that was normal behavior.I've already started a return. If they ever fixed that so it went to both ears, even if it combined both channels of audio into one, I might be willing to give them another try. But those went back and it'll probably be too late for me to try again if that ever changes."
95,Amazon,2.0 out of 5 stars,poor product,A hissing sound was present at all volume levels. Using the app didn't fix the problem.
95,Amazon,NA,NA,NA
95,Amazon,NA,NA,NA
95,Amazon,NA,NA,NA
95,Amazon,NA,NA,NA
95,Amazon,NA,NA,NA
95,Amazon,NA,NA,NA
92,Amazon,NA,NA,NA
92,Amazon,NA,NA,NA
92,Amazon,NA,NA,NA
92,Amazon,NA,NA,NA
92,Amazon,NA,NA,NA
92,Amazon,NA,NA,NA
92,Amazon,NA,NA,NA
92,Amazon,2.0 out of 5 stars,Product is good except its high price,Product is good except high price. It would be better if they make beige color also in addition to current color.
92,Amazon,NA,NA,NA
92,Amazon,NA,NA,NA
159,Amazon,NA,NA,NA
159,Amazon,1.0 out of 5 stars,Very Poor Sound Quality,"Dislikes in order of importance:1  Terrible sound quality - no matter what mode or volume sound came through like I was in an echo chamber.2.  I could hear more sounds - aka volume - but quality was such that I still could not understand a lot of what people were saying.  aka the aids were not an aid.3.  Trying to adjust via a tiny button in my ear was awkward at best.  Having an app which would be much better.4.  No way of knowing what setting the aid was at, except for cycling all the way through all the settings on each ear - frustrating at best.Likes (note that these likes are useless if the aid does no good):1. Small size2. Case and charging3. Price - although the insurance cost is ridiculous"
159,Amazon,1.0 out of 5 stars,No customer support or comments from manufacturer,"I was looking at the devices shown here and while it sounds like some users tweaked the hearing aid enough to get it to wor, no response from customer service is really surprising. The manufacturer does not care about their product if they are not responding g to complaints. Based on that alone I would not buy them! In fact I challenge the manufacturer. If they are so good reach out to me with a pair and I will be happy to review your product."
159,Amazon,1.0 out of 5 stars,Wast of money,All I can say is Garbage. Not worth it at any price.
159,Amazon,NA,NA,NA
159,Amazon,NA,NA,NA
159,Amazon,NA,NA,NA
159,Amazon,NA,NA,NA
159,Amazon,NA,NA,NA
159,Amazon,NA,NA,NA
159,Amazon,NA,NA,NA
159,Amazon,1.0 out of 5 stars,Save your money,They screech and howl no matter what you do. Which is a shame because they really are ALMOST undetectable and comfortable.
